recept_id,nazev_recept,url_recept,pocet_porci,pracovni_postup,url_obrazek,energie_1_porce_kcal,bilkoviny_v_gramech,sacharidy_v_gramech,tuky_v_gramech,druh_recept
1,dršťková polévka,https://www.apetitonline.cz/recept/hospodska-drstkova-polevka ,4,"Na sádle zpěňte cibuli, přidejte mouku a osmahněte na světle žlutou jíšku a zamíchejte do ní sladkou papriku. Zalijte vývarem, dobře rozmíchejte a vařte nejméně 20 minut. Pak přidejte uvařené dršťky, koření, drcený česnek, osolte a ještě 10 minut vařte.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/hospodska_drstkova_polevka_0.jpg,334.75,27.75,23.75,13,klasika
2,klasická česnečka,https://www.apetitonline.cz/recept/klasicka-cesnecka ,4,"Brambory nakrájejte na větší kousky. Stroužky česneku nakrájejte na tenké plátky. Brambory s česnekem vložte do hrnce a posypte lžičkou celého kmínu. Zalijte 750 ml kuřecího vývaru nebo vody, přiveďte k varu a vařte, až brambory téměř změknou. Pak do polévky přisypte 2 lžičky sušené majoránky a uvařené brambory z polévky vyjměte děrovanou lžící, aby se zcela nerozvařily. Cibuli nakrájejte najemno. Na pánvi rozehřejte trochu sádla nebo rostlinného oleje a cibuli na něm osmahněte. Přidejte k ní předvařené brambory, trochu je rozmačkejte a osmahněte. Osolte a opepřete. Osmahnuté brambory můžete vrátit přímo do polévky, nebo je rozdělte při servírování na dno talířů a zalijte horkou česnečkou. V talíři polévku ozdobte snítkou čerstvé majoránky.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/klasicka_cesnecka_0.jpg?h=2a469567,172,6.75,29.75,0.75,klasika
3,hovězí guláš,https://www.apetitonline.cz/recept/gulas ,4,"Maso pokrájejte na větší kostky. Poprašte je pepřem, zakápněte olivovým (rostlinným) olejem a nechte v chladu odležet alespoň půl hodiny, lépe do druhého dne. Cibuli pokrájejte na hrubší kousky nebo půlkolečka a osmahněte ji v silnostěnném kastrole na tuku. Přidejte lžíci sladké papriky, lehce osmahněte a trochu podlijte. Rozehřejte velkou silnostěnnou pánev a ze všech stran na ní osmahněte kousky masa. Hned je vkládejte do kastrolu na cibulový základ. Když máte všechno maso osmažené a v kastrolu, dobře je osolte, lehce opepřete, přikryjte a duste v troubě předehřáté na 150 stupňů hodinu až hodinu a půl, dokud není maso křehké. Kontrolujte, jestli nepotřebuje podlít. Během dušení k hovězímu přidejte rozpůlené rajče a malinko je poprašte skořicí nebo perníkovým kořením. Asi dvacet minut před koncem dušení osmahněte nasucho na pánvi lžíci mouky, zalijte ji trochou studeného vývaru a vzniklou jíšku přidejte k masu. Důkladně promíchejte a ještě dvacet minut duste. Poprašte rozemnutou majoránkou, promíchejte a dotáhněte omáčku trochou papriky osmahnuté na tuku, solí, pepřem a worcesterskou omáčkou.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/gulas_6.jpg?h=7f547c25,508.75,53.25, 21,20.75,klasika
4,svíčková,https://www.apetitonline.cz/recept/dokonala-svickova-pecene,4,"Mrkev, cibuli, celer a petržel nastrouhejte na hrubém struhadle. V kastrolu rozehřejte třetinu oleje se třetinou másla a osmahněte v něm zeleninu. Pozor, zelenina se nemá dusit – proto se také strouhá nahrubo. Po třech až čtyřech minutách přihoďte bobkový list, tymián a nové koření. Smažte ještě tři minuty a směs zasypte cukrem. Promíchejte a cukr nechte zkaramelizovat – to je jeden z klíčových okamžiků, který rozhoduje o chuti celé svíčkové. Přidejte nakrájené citrony, dvě lžíce brusinek a hořčici. Všechno znovu osmahněte, přilijte ocet a nechte ho vyvařit. Doplňte dvěma lžícemi vody a promíchejte. V tuhle chvíli vzniká základ správně navinulé omáčky. Maso na několika místech nařízněte a do otvorů zatlačte slaninu tak, aby pokud možno nevyčnívala. Máte-li špikovací jehlu, můžete proužky slaniny protáhnout po celé délce masa. Troubu předehřejte na 220 °C, horkovzdušnou na 200 °C. Maso ze všech stran rovnoměrně osolte a opepřete a stejně rovnoměrně ho opečte na pánvi na zbylém oleji a druhé třetině másla. Vložte do pekáče, přidejte zeleninový základ a pomalu pečte. Po upečení slijte omáčku a maso uchovejte v teple. V kastrolu nebo velké pánvi  přiveďte omáčku k varu a přilijte do ní zátřepku. Mimo oheň vmíchejte poslední kousek másla; omáčka pak bude už úplně sametová a získá barvu kávy s mlékem. Přelijte omáčku zpátky do pekáče k masu. Svíčkovou můžete nechat rozležet i do druhého dne. Maso podávejte nakrájené na plátky, přelité omáčkou, s brusinkami, citronem, případně (zakysanou) smetanou. A pochopitelně s knedlíkem!",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/svickova1104_0.jpg?h=950b8835,1936,67.75,120.5,129.25,klasika
5,kuřecí vývar s játrovými knedlíčky,https://www.apetitonline.cz/recept/kureci-vyvar-s-jatrovymi-knedlicky,4,"Kuřecí maso, polovinu celeru, dvě mrkve, jednu petržel, cibuli, petrželku a koření dejte do 1,5 litru studené vody, přiveďte k varu a nechte mírně probublávat asi 2 hodiny. Mezitím připravte knedlíčky: kuřecí játra a prsíčka rozmixujte, přidejte strouhanku namočenou v mléce, osolte, opepřete, přidejte žloutky, petrželku, majoránku a prolisovaný česnek. Promíchejte a nechte asi hodinu v ledničce. Vývar proceďte, uvařenou zeleninu vyhoďte. Polévku vraťte zpět na plotýnku a přiveďte k varu. Čerstvou mrkev, celer a petržel pokrájejte na drobné kostičky a vhoďte do vývaru. Pomocí dvou lžiček tvarujte z játrové hmoty malé nočky a vařte je ve vývaru, dokud nevyplavou; stačit by mělo pět minut. Polévku dochuťte solí a pepřem, přidejte posekanou čerstvou petrželku a podávejte.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/5387_0.jpg,725.75,50.5,27.5,44,maso
6,valašská kyselica,https://www.apetitonline.cz/recept/valasska-kyselica,4,"Do většího hrnce dejte vařit zelí i s nálevem a hrnkem vody. Ve druhém uvařte v osolené vodě s kmínem na kostičky pokrájené brambory. Do hrnce se zelím přidejte ještě několik bobkových listů a pár kuliček nového koření. Když jsou brambory skoro měkké, přidejte je i s vodou do většího hrnce k zelí. Na másle orestujte na kostičky nakrájenou slaninu, cibuli a na kolečka nakrájenou klobásu. V troše mléka rozkvedlejte lžíci mouky, vlijte do hrnce a důkladně rozmíchejte. Pak přidejte osmaženou cibulku, klobásu a slaninu. Za občasného míchání nechte probublávat asi čtvrt hodiny. Nakonec odstavte z plotýnky a dochuťte zakysanou smetanou, případně solí a pepřem.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/recepty/borsch-4260907_1280.jpg?h=ead717b0,289.5,9.25,25.75,16,maso
7,dokonalý domácí hamburger,https://www.apetitonline.cz/recept/dokonaly-domaci-hamburger,4,"Dejte všechny přísady na burger do mísy, osolte, opepřete a promíchejte. Vytvarujte 4 placky, do každé udělejte uprostřed mírnou prohlubeň. Ta zaručí, že se burger uprostřed během opékání nevyboulí a nebude uprostřed příliš silný. Odložte maso do lednice a mezitím připravte barbecue omáčku. V rendlíku na lžíci olivového oleje opékejte cibuli a česnek spolu se špetkou drcené chilli papričky asi 3 minuty dosklovita. Přidejte konzervu krájených rajčat, tmavý třtinový cukr, jablečný ocet, worcesterskou omáčku a rajčatový protlak a nechte na nízkém ohni bublat asi 30 minut do zhoustnutí. Rozmixujte, případně dosolte a nechte BBQ omáčku vychladnout. Rozehřejte gril nebo grilovací pánev. Burgery potřete tence olejem a grilujte asi 4 minuty po každé straně, až budou pěkně dohněda opečené a stále ještě růžové uprostřed. Na poslední minutu na ně položte plátky sýra, aby se roztekly. Hamburgerové bulky podélně rozpulte a řezné strany opečte. Smíchejte majonézu s hořčicí a potřete jí spodní část opečené bulky. Pak na ni položte list salátu a maso. Ozdobte okurkami a cibulí a pokapejte barbecue omáčkou. Přiklopte a pusťte se do jídla!",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/bez-nazvu-3_0.jpg?h=c65c25bf,1440.5,94.5,61.5,89.75,maso
8,babiččina sekaná,https://www.apetitonline.cz/recept/babiccina-sekana,6,"Připravte si mísu velkou tak, aby se do ní nejen vešly všechny ingredience, ale aby se vám v ní maso i dobře hnětlo. Mleté maso dejte do mísy a přidejte najemno nakrájenou cibuli. Snažte se cibuli nakrájet opravdu co nejvíce najemno – velké kusy cibule sice neovlivní chuť sekané, ale vypadávají ze syrové směsi a zbytečně narušují její strukturu. K masu a cibuli přidejte prolisovaný nebo utřený česnek. Pak přidejte 1 vejce a 1 žloutek; zbylý bílek ponechte v hrnku stranou. (Na závěr jím potřete hotové šišky sekané – budou tak lépe držet pohromadě.) Osolte. Směs můžete částečně promíchat. Přidejte sušenou majoránku. Nakonec přidejte strouhanku. Roznoměrně jí zasypte maso a nechte odpočinout. Mezitím připravte pekáček a předehřejte troubu na 180°C. Masovou směs důkladně promíchejte rukama. Máte-li pocit, že směs nedrží pohromadě tak, jak má, přidejte trochu strouhanky, případně trochu prošlehaného vejce. Pokud to nepomůže, přilijte trochu mléka a znovu důkladně propracujte. Mléko by mělo mít stejnou teplotu jako masová směs. Po důkladném propracování z masové směsi vytvarujte bochánek a několikrát po sobě jím z výšky asi 30 cm udeřte o čistou pracovní desku. Masovou směs tím zbavíte vzduchových bublin, které by během pečení unikaly a způsobily popraskání. Navlhčenýma rukama z masové směsi vytvarujte šišku. Zabalte sekanou do slaniny. Plátky slaniny naskládejte do pekáčku tak, aby se na dně překrývaly a aby konce přesahovaly okraj nádoby. Plátky pokládejte hustě proti sobě. Doprostřed položte sekanou. Potřete ji prošlehaným bílkem, který jste si odložili stranou. Potřením před pečením docílíte zlatavé kůrčičky. Pak střídavě překládejte přes sekanou plátky slaniny z jedné a druhé strany. Sekanou v pekáčku podlijte asi 1 cm vody, vložte do trouby předehřáté na 180°C a pečte zhruba hodinu. Během pečení ji podle potřeby podlévejte a polévejte výpekem. Sekanou podávejte nakrájenou na plátky, s bramborovou kaší politou rozpuštěným máslem a posypanou nasekanou pažitkou a s nakládanými okurkami. ",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/babiccina_sekana_0.jpg?h=07d7c0e2,1868.33,71.67,22.67,166.5,maso
9,babiččina bábovka,https://www.apetitonline.cz/recept/babiccina-babovka,6,"Bábovkovou formu pečlivě vymažte máslem a vysypte hrubou moukou. Troubu předehřejte na 180 °C (horkovzdušnou na 160 °C). Oddělte žloutky a bílky. Žloutky utřete s cukrem, pak přidejte změklé máslo a mléko a dobře promíchejte. V jiné misce ušlehejte dotuha bílky s vanilkovým cukrem. Mouku smíchejte s kypřicí práškem do pečiva. Sníh a mouku pak po částech opatrně zamíchejte do žloutkové směsi. Polovinu těsta vlijte do formy, zbytek obarvěte kakaem a nalijte na světlé těsto. Uhlaďte stěrkou. Pečte asi 1 hodinu. Bábovku vyjměte z trouby, nechte chvíli chladnout ve formě, pak vyklopte a dejte dochladnout na mřížku. Podávejte pocukrovanou moučkovým cukrem.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large_2x/public/babiccinababovka1007_0.jpg?h=5f00e4c8,960.83,22.33,129.33,38.33,moučník
10,jednoduché palačinky,https://www.apetitonline.cz/recept/jednoduche-palacinky,4,"Z hladké mouky, špetky soli, vajec a 250 ml mléka ušlehejte metlou hustší hladké těsto. Poté vmíchejte dalších 250 ml mléka a nechte těsto 30 minut odstát v lednici. Po vyndání z lednice těsto dobře promíchejte a pokud je příliš husté, trochu ho nařeďte mlékem. Na středním ohni rozpalte nepřilnavou pánev a lehce ji potřete olejem. Do pánve vlijte asi naběračku těsta a nakláněním ho rovnoměrně rozlijte po celé ploše. Opékejte přibližně 1 minutu, poté palačinku otočte a opečte dozlatova i z druhé strany. Postup opakujte, dokud nespotřebujete celé těsto. Hotové palačinky potřete Nutellou, poklaďte malinami a zatočte do ruliček. Podávejte ozdobené ušlehanou smetanou, malinami, borůvkami a poprášené moučkovým cukrem.",https://www.apetitonline.cz/sites/default/files/styles/apetit_article_landscape_large/public/recepty/20240419_jednoduche-palacinky_16x9_foto_-4.jpg?h=24f5e462,327.25,17.5,41.5,9,moučník
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,